Date and time,Temperature Inside,Atmospheric Pressure,Light Intensity,Water Temperature,LocalizationN,LocalizationE
2024-06-01 14:20:35.420208,29.16,963.52,33.34,23.6875,0,0
2024-06-01 14:21:23.468321,29.16,1063.33,33.46,23.6875,0,0
2024-06-01 14:21:53.595642,29.19,1007.61,33.07,23.625,0,0
2024-06-01 14:22:23.806044,29.19,1062.37,33.01,23.6875,E18.6124721,N54.3712977
2024-06-01 14:22:54.132455,29.19,1007.59,33.26,23.75,E18.612335483333332,N54.3712117
2024-06-01 14:23:24.621933,29.21,1062.31,26.55,23.6875,E18.612409116666665,N54.371222833333334
2024-06-01 14:23:55.043670,29.23,1007.66,25.23,23.75,E18.61234805,N54.371161216666664
2024-06-01 14:24:25.679340,29.23,1061.5,24.63,23.8125,E18.612318033333334,N54.37112776666667
2024-06-01 14:24:55.903861,29.25,1007.58,24.93,23.9375,E18.6122055,N54.3710323
2024-06-01 14:25:26.143949,29.25,1060.93,24.85,24.0625,E18.612194283333334,N54.37099766666667
2024-06-01 14:25:56.323953,29.29,1007.59,24.89,24.375,E18.612169983333334,N54.370972583333334
2024-06-01 14:26:26.876564,29.26,1060.19,24.93,24.6875,E18.612157366666665,N54.37095038333333
2024-06-01 14:26:57.559434,29.29,1007.54,24.88,24.9375,E18.612149583333334,N54.37093721666667
2024-06-01 14:27:28.633545,29.27,1060.11,24.77,25.1875,E18.6121463,N54.370921583333335
2024-06-01 14:27:58.907316,29.27,1007.59,25.34,25.375,E18.612138466666668,N54.370910583333334
2024-06-01 14:28:29.497458,29.27,1060.47,25.0,25.4375,E18.61213265,N54.37090233333333
2024-06-01 14:29:00.064420,29.29,1007.61,24.85,25.625,E18.6121268,N54.37089155
2024-06-01 14:29:30.762665,29.31,1060.08,24.85,25.6875,E18.612126966666665,N54.3708888
2024-06-01 14:30:01.446116,29.29,1007.5,24.85,25.75,E18.61212816666667,N54.37088643333333
2024-06-01 14:30:31.665188,29.33,1060.02,25.37,25.875,E18.6121285,N54.37088555
2024-06-01 14:31:02.236327,29.34,1007.53,25.89,25.9375,E18.612131066666667,N54.37088658333333
2024-06-01 14:31:32.812446,29.3,1059.1,25.19,26.0,E18.6121392,N54.37088668333333
2024-06-01 14:32:03.700877,29.34,1007.54,25.3,26.0,E18.612126616666668,N54.370861833333336
2024-06-01 14:32:34.440668,29.34,1058.85,25.23,26.0,E18.612136583333335,N54.370864
2024-06-01 14:33:04.769468,29.35,1007.5,25.23,26.0625,E18.612142716666668,N54.370864016666665
2024-06-01 14:33:35.362385,29.35,1058.57,25.45,26.125,E18.612147866666668,N54.37086291666667
2024-06-01 14:34:06.008159,29.35,1007.48,25.08,26.125,E18.612151016666665,N54.37086098333333
2024-06-01 14:34:36.713449,29.37,1058.54,25.04,26.1875,E18.612150916666668,N54.3708603
2024-06-01 14:35:07.137669,29.36,1007.51,25.52,26.1875,E18.612153916666667,N54.370861016666666
2024-06-01 14:35:37.228716,29.38,1058.43,25.12,26.25,E18.6121554,N54.370860633333336
2024-06-01 14:36:07.824321,29.4,1007.41,24.93,26.25,E18.612156516666666,N54.3708583
